ts_code,symbol,name,area,industry,xueqiu_url
002624.SZ,002624,完美世界,浙江,互联网,https://xueqiu.com/S/SZ002624
002625.SZ,002625,光启技术,深圳,航空,https://xueqiu.com/S/SZ002625
002648.SZ,002648,卫星化学,浙江,化工原料,https://xueqiu.com/S/SZ002648
002670.SZ,002670,国盛证券,江西,证券,https://xueqiu.com/S/SZ002670
002673.SZ,002673,西部证券,陕西,证券,https://xueqiu.com/S/SZ002673
002683.SZ,002683,广东宏大,广东,化工原料,https://xueqiu.com/S/SZ002683
002709.SZ,002709,天赐材料,广东,化工原料,https://xueqiu.com/S/SZ002709
002714.SZ,002714,牧原股份,河南,农业综合,https://xueqiu.com/S/SZ002714
002736.SZ,002736,国信证券,深圳,证券,https://xueqiu.com/S/SZ002736
002738.SZ,002738,中矿资源,北京,小金属,https://xueqiu.com/S/SZ002738
002739.SZ,002739,万达电影,北京,影视音像,https://xueqiu.com/S/SZ002739
002756.SZ,002756,永兴材料,浙江,小金属,https://xueqiu.com/S/SZ002756
002773.SZ,002773,康弘药业,四川,化学制药,https://xueqiu.com/S/SZ002773
002797.SZ,002797,第一创业,深圳,证券,https://xueqiu.com/S/SZ002797
002821.SZ,002821,凯莱英,天津,生物制药,https://xueqiu.com/S/SZ002821
002831.SZ,002831,裕同科技,深圳,广告包装,https://xueqiu.com/S/SZ002831
002837.SZ,002837,英维克,深圳,专用机械,https://xueqiu.com/S/SZ002837
002841.SZ,002841,视源股份,广东,元器件,https://xueqiu.com/S/SZ002841
002850.SZ,002850,科达利,深圳,电气设备,https://xueqiu.com/S/SZ002850
002851.SZ,002851,麦格米特,深圳,电气设备,https://xueqiu.com/S/SZ002851
002916.SZ,002916,深南电路,深圳,元器件,https://xueqiu.com/S/SZ002916
002920.SZ,002920,德赛西威,广东,汽车配件,https://xueqiu.com/S/SZ002920
002926.SZ,002926,华西证券,四川,证券,https://xueqiu.com/S/SZ002926
002938.SZ,002938,鹏鼎控股,深圳,元器件,https://xueqiu.com/S/SZ002938
002939.SZ,002939,长城证券,深圳,证券,https://xueqiu.com/S/SZ002939
002945.SZ,002945,华林证券,西藏,证券,https://xueqiu.com/S/SZ002945
002958.SZ,002958,青农商行,山东,银行,https://xueqiu.com/S/SZ002958
002966.SZ,002966,苏州银行,江苏,银行,https://xueqiu.com/S/SZ002966
002984.SZ,002984,森麒麟,山东,汽车配件,https://xueqiu.com/S/SZ002984
003021.SZ,003021,兆威机电,深圳,元器件,https://xueqiu.com/S/SZ003021
003022.SZ,003022,联泓新科,山东,化工原料,https://xueqiu.com/S/SZ003022
003031.SZ,003031,中瓷电子,河北,元器件,https://xueqiu.com/S/SZ003031
003035.SZ,003035,南网能源,广东,新型电力,https://xueqiu.com/S/SZ003035
003816.SZ,003816,中国广核,深圳,新型电力,https://xueqiu.com/S/SZ003816
300001.SZ,300001,特锐德,山东,电气设备,https://xueqiu.com/S/SZ300001
300002.SZ,300002,神州泰岳,北京,互联网,https://xueqiu.com/S/SZ300002
300003.SZ,300003,乐普医疗,北京,医疗保健,https://xueqiu.com/S/SZ300003
300012.SZ,300012,华测检测,深圳,电器仪表,https://xueqiu.com/S/SZ300012
300014.SZ,300014,亿纬锂能,广东,电气设备,https://xueqiu.com/S/SZ300014
300015.SZ,300015,爱尔眼科,湖南,医疗保健,https://xueqiu.com/S/SZ300015
300017.SZ,300017,网宿科技,上海,软件服务,https://xueqiu.com/S/SZ300017
300024.SZ,300024,机器人,辽宁,专用机械,https://xueqiu.com/S/SZ300024
300033.SZ,300033,同花顺,浙江,软件服务,https://xueqiu.com/S/SZ300033
300037.SZ,300037,新宙邦,深圳,化工原料,https://xueqiu.com/S/SZ300037
300054.SZ,300054,鼎龙股份,湖北,化工原料,https://xueqiu.com/S/SZ300054
300058.SZ,300058,蓝色光标,北京,广告包装,https://xueqiu.com/S/SZ300058
300059.SZ,300059,东方财富,上海,证券,https://xueqiu.com/S/SZ300059
300070.SZ,300070,碧水源,北京,环境保护,https://xueqiu.com/S/SZ300070
300073.SZ,300073,当升科技,北京,电气设备,https://xueqiu.com/S/SZ300073
300100.SZ,300100,双林股份,浙江,汽车配件,https://xueqiu.com/S/SZ300100
300115.SZ,300115,长盈精密,深圳,元器件,https://xueqiu.com/S/SZ300115
300122.SZ,300122,智飞生物,重庆,生物制药,https://xueqiu.com/S/SZ300122
300124.SZ,300124,汇川技术,深圳,电器仪表,https://xueqiu.com/S/SZ300124
300136.SZ,300136,信维通信,深圳,元器件,https://xueqiu.com/S/SZ300136
300140.SZ,300140,节能环境,陕西,环境保护,https://xueqiu.com/S/SZ300140
300142.SZ,300142,沃森生物,云南,生物制药,https://xueqiu.com/S/SZ300142
300144.SZ,300144,宋城演艺,浙江,旅游景点,https://xueqiu.com/S/SZ300144
300146.SZ,300146,汤臣倍健,广东,食品,https://xueqiu.com/S/SZ300146
300207.SZ,300207,欣旺达,深圳,电气设备,https://xueqiu.com/S/SZ300207
300223.SZ,300223,北京君正,北京,半导体,https://xueqiu.com/S/SZ300223
300251.SZ,300251,光线传媒,北京,影视音像,https://xueqiu.com/S/SZ300251
300274.SZ,300274,阳光电源,安徽,电气设备,https://xueqiu.com/S/SZ300274
300285.SZ,300285,国瓷材料,山东,陶瓷,https://xueqiu.com/S/SZ300285
300308.SZ,300308,中际旭创,山东,通信设备,https://xueqiu.com/S/SZ300308
300316.SZ,300316,晶盛机电,浙江,专用机械,https://xueqiu.com/S/SZ300316
300339.SZ,300339,润和软件,江苏,软件服务,https://xueqiu.com/S/SZ300339
300346.SZ,300346,南大光电,江苏,半导体,https://xueqiu.com/S/SZ300346
300347.SZ,300347,泰格医药,浙江,医疗保健,https://xueqiu.com/S/SZ300347
300373.SZ,300373,扬杰科技,江苏,半导体,https://xueqiu.com/S/SZ300373
300383.SZ,300383,光环新网,北京,软件服务,https://xueqiu.com/S/SZ300383
300390.SZ,300390,天华新能,江苏,电气设备,https://xueqiu.com/S/SZ300390
300394.SZ,300394,天孚通信,江苏,通信设备,https://xueqiu.com/S/SZ300394
300395.SZ,300395,菲利华,湖北,玻璃,https://xueqiu.com/S/SZ300395
300408.SZ,300408,三环集团,广东,元器件,https://xueqiu.com/S/SZ300408
300413.SZ,300413,芒果超媒,湖南,影视音像,https://xueqiu.com/S/SZ300413
300418.SZ,300418,昆仑万维,北京,互联网,https://xueqiu.com/S/SZ300418
300432.SZ,300432,富临精工,四川,汽车配件,https://xueqiu.com/S/SZ300432
